,M4,M5,M32,M33,M34,M36,M44,M47,M48,M52,M53,M59,M62,M63,M120,M124,M145,M500,X17,X36,X41,X43,Y4,Y5,D56,D58,D115,D206,D208,D216,D218,D246,D270,D272,D274,D276,D278,D284,D300,D302,D304,D306,D308,D310,D318,D320,D374,D375,D379,D390,D391,D393,D500,D510,D542,D544,D546,D552,D553,D554,D566,D568,D570,D574,D576,D578,D582,D650,D652,D5100,D5270,D5272,D5276,D5278,D5652,D8260,D8264
time,テンション検出：開口時,テンション検出：閉口時,ドロッパー停止,ドライバ異常停止,テンション異常,運転中,タルミ取り(≪!X43),ヨコ切れ入力有り,予備停止入力,インバータFLT,送り出し計算異常,モーター空転,GOTドロッパーOFF,GOTタルミ取りOFF,送り出しカウンタ＜100,ﾋﾞｰﾑ変更閾値_範囲内,ヨコセンサー異常,送りパルス固定,非常停止ボタン,フィーダー停止,ヨコセンサー,タルミ取り(≫M44),,,現在角度,エンコーダｶｳﾝﾀｰ,回転数,巻取パルス,巻取スピード,送出パルス,送出スピード,固定送出パルスGOT入力値,変化上限,変化下限,ビーム径変更閾値係数,ビーム径変更閾値：上,ビーム径変更閾値：下,GOT PID上下限係数,ベース割合,メッシュ,ビーム径,Total減速比,送りサーボrevパルス,送り量計算値,ベース送り量,10Cmｶｳﾝﾄ（≒回転回数）,テンションMAX,テンションMIN,テンションGOT表示,開口時テンション,閉口時テンション,テンション一回転平均,目標テンション,4AD ch1平均回数,比例ゲイン,積分ゲイン,微分ゲイン,en,en-1,en-2,比例,積分,微分,dMVn,PID操作量,前回操作量,PID演算ﾊﾟﾙｽ送出　　[32bit],MVn(D576)平均,送り出し計算カウンタ,計算径,PID MV上限,PID MV下限,ﾋﾞｰﾑ径変更閾値　上限,ﾋﾞｰﾑ径変更閾値　下限,ﾋﾞｰﾑ径　閾値超えｶｳﾝﾀ　　[16bit],テンションアナログ値,AD ch1平均回数
10:15:21.04,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:21.17,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:21.31,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:21.45,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:21.59,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:21.73,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:21.87,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:22.01,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:22.15,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:22.28,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:22.42,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:22.56,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:22.70,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:22.84,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:22.98,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:23.12,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:23.25,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:23.40,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:23.53,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:23.67,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
10:15:23.81,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,1838,190001,2205,190000,2205,2000,-2000,1.1,626,-734,1.2,0.7,48,322,10636.36,4000,22255.63,1557,21,0,0,2400,0,2400,2400,2400,0,40,25,5,0,0,0,0,0,0,0,681,681,1557,681,0,320.2105,797,341,626,512,1,0,0
